province,period,avgTemperature,avgRainfall,avgHumidity,weatherScore,year,month
"chiang-mai","2020-02",24.86,0.00,74.72,100,2020,02
"chiang-mai","2020-03",28.72,0.00,68.91,99,2020,03
"chiang-mai","2020-04",29.78,4.75,70.40,90,2020,04
"chiang-mai","2020-05",30.65,2.30,71.32,86,2020,05
"chiang-mai","2020-06",28.53,6.46,80.97,84,2020,06
"chiang-mai","2020-07",27.61,8.94,82.69,83,2020,07
"chiang-mai","2020-08",26.33,16.17,86.50,76,2020,08
"chiang-mai","2020-09",26.81,10.09,83.25,84,2020,09
"chiang-mai","2020-10",25.39,4.78,81.44,88,2020,10
"chiang-mai","2020-11",24.64,1.23,77.33,97,2020,11
"chiang-mai","2020-12",21.95,0.04,79.17,97,2020,12
"chiang-mai","2021-01",21.98,0.36,79.89,95,2021,01
"chiang-mai","2021-02",24.49,0.82,75.88,97,2021,02
"chiang-mai","2021-03",28.38,0.38,70.10,98,2021,03
"chiang-mai","2021-04",28.11,4.13,77.13,89,2021,04
"chiang-mai","2021-05",29.60,4.14,74.75,85,2021,05
"chiang-mai","2021-06",27.79,7.43,80.27,85,2021,06
"chiang-mai","2021-07",27.05,11.70,85.24,80,2021,07
"chiang-mai","2021-08",26.79,10.62,84.67,81,2021,08
"chiang-mai","2021-09",26.18,14.06,84.41,81,2021,09
"chiang-mai","2021-10",25.59,8.65,82.93,85,2021,10
"chiang-mai","2021-11",24.54,4.57,80.17,90,2021,11
"chiang-mai","2021-12",21.16,0.23,80.95,94,2021,12
"chiang-mai","2022-01",21.64,1.16,81.62,94,2022,01
"chiang-mai","2022-02",22.56,4.21,80.41,93,2022,02
"chiang-mai","2022-03",28.43,1.08,71.39,96,2022,03
"chiang-mai","2022-04",27.80,3.44,74.14,91,2022,04
"chiang-mai","2022-05",26.73,13.38,83.23,83,2022,05
"chiang-mai","2022-06",27.52,5.70,80.73,87,2022,06
"chiang-mai","2022-07",26.68,13.50,83.06,81,2022,07
"chiang-mai","2022-08",26.20,15.96,86.06,77,2022,08
"chiang-mai","2022-09",25.77,12.43,85.80,80,2022,09
"chiang-mai","2022-10",25.10,5.99,79.88,89,2022,10
"chiang-mai","2022-11",24.72,1.48,78.95,94,2022,11
"chiang-mai","2022-12",23.14,0.96,79.24,94,2022,12
"chiang-mai","2023-01",21.81,0.03,79.36,98,2023,01
"chiang-mai","2023-02",23.50,1.69,77.49,97,2023,02
"chiang-mai","2023-03",26.00,0.52,73.74,98,2023,03
"chiang-mai","2023-04",30.11,0.23,67.53,95,2023,04
"chiang-mai","2023-05",29.13,4.83,74.03,90,2023,05
"chiang-mai","2023-06",28.12,9.73,82.01,80,2023,06
"chiang-mai","2023-07",27.63,10.14,82.07,83,2023,07
"chiang-mai","2023-08",26.92,11.00,85.65,79,2023,08
"chiang-mai","2023-09",26.50,20.03,84.65,76,2023,09
"chiang-mai","2023-10",25.80,6.82,82.45,86,2023,10
"chiang-mai","2023-11",24.50,1.33,78.22,95,2023,11
"chiang-mai","2023-12",23.39,1.46,77.95,95,2023,12
"chiang-mai","2024-01",22.58,0.69,79.88,95,2024,01
"chiang-mai","2024-02",24.63,0.13,75.44,99,2024,02
"chiang-mai","2024-03",28.42,0.28,70.01,98,2024,03
"chiang-mai","2024-04",32.11,0.34,64.64,91,2024,04
"chiang-mai","2024-05",29.47,12.76,78.04,79,2024,05
"chiang-mai","2024-06",27.60,10.07,82.92,83,2024,06
"chiang-mai","2024-07",26.91,16.25,85.90,77,2024,07
"chiang-mai","2024-08",26.48,14.69,86.61,77,2024,08
"chiang-mai","2024-09",26.61,12.68,83.04,82,2024,09
"chiang-mai","2024-10",25.99,9.15,80.11,87,2024,10
"chiang-mai","2024-11",24.54,1.36,77.82,96,2024,11
"chiang-mai","2024-12",23.31,0.65,78.15,96,2024,12
"chiang-mai","2025-01",21.04,0.05,80.60,95,2025,01
"chiang-mai","2025-02",24.34,1.86,76.53,98,2025,02
"chiang-mai","2025-03",26.63,0.34,73.03,98,2025,03
"chiang-mai","2025-04",28.87,1.99,70.83,95,2025,04
"chiang-mai","2025-05",28.22,8.75,80.31,83,2025,05
"chiang-mai","2025-06",27.42,11.25,83.07,82,2025,06
"chiang-mai","2025-07",26.53,16.95,86.51,76,2025,07
"chiang-mai","2025-08",26.71,14.25,85.77,78,2025,08
"chiang-mai","2025-09",26.62,8.05,81.86,86,2025,09
"chiang-mai","2025-10",26.39,3.46,78.33,91,2025,10
"chiang-mai","2025-11",23.59,6.79,82.10,87,2025,11
"chiang-rai","2020-01",20.95,0.05,80.73,95,2020,01
"chiang-rai","2020-02",22.51,0.02,78.31,98,2020,02
"chiang-rai","2020-03",25.38,0.00,73.93,100,2020,03
"chiang-rai","2020-04",27.02,4.05,74.79,94,2020,04
"chiang-rai","2020-05",28.79,1.48,71.78,94,2020,05
"chiang-rai","2020-06",27.14,8.06,82.88,84,2020,06
"chiang-rai","2020-07",26.80,7.23,82.92,84,2020,07
"chiang-rai","2020-08",25.95,14.84,86.08,78,2020,08
"chiang-rai","2020-09",26.15,9.21,83.99,83,2020,09
"chiang-rai","2020-10",24.51,3.75,81.69,90,2020,10
